id,word,meaning,furigana,romaji,level,frequency,difficulty
1,若しかして,perhaps; possibly,もしかして,moshikashite,1,2.16,10.14
2,彼方此方,here and there,あちこち,achikochi,1,2.8,9.5
3,視点,opinion; point of view; visual point,してん,shiten,1,4.4,7.9
4,開発,development; exploitation,かいはつ,kaihatsu,1,5.18,7.120000000000001
5,彼の,that over there,あの,ano,1,5.42,6.880000000000001
6,滞納,non-payment; default,たいのう,tainō,1,3.26,9.040000000000001
7,果て,the end; the extremity; the limit(s); the result,はて,hate,1,4.12,8.18
8,長閑,tranquil; calm; quiet,のどか,nodoka,1,2.14,10.16
9,負う,to bear; to owe,おう,ō,1,3.84,8.46
10,首脳,head; brains,しゅのう,shunō,1,3.87,8.43
11,一筋,a line; earnestly; blindly; straightforwardly,ひとすき,hitosuki,1,3.43,8.870000000000001
12,落ち着き,calm; composure,おちつき,ochitsuki,1,3.87,8.43
13,業者,trader; merchant,ぎょうしゃ,gyōsha,1,4.61,7.69
14,蛋白質,protein,たんぱくしつ,tanpakushitsu,1,3.24,9.06
15,タイムリー,timely; run-batted-in (baseball); RBI,,taimurī,1,3.6,8.700000000000001
16,後悔,regret; repentance,こうかい,kōkai,1,4.55,7.750000000000001
17,購読,subscription (e.g. magazine),こうどく,kōdoku,1,3.88,8.420000000000002
18,嗜好,taste; liking; preference,しこう,shikō,1,3.7,8.600000000000001
19,診療,medical examination and treatment; diagnosis,しんりょう,shinryō,1,4.11,8.190000000000001
20,班,group; party; section (mil),はん,han,1,4.28,8.02
21,保管,charge; custody; safekeeping; deposit; storage,ほかん,hokan,1,4.37,7.930000000000001
22,スチーム,steam,,suchīmu,1,3.37,8.93
23,配列,arrangement; array (programming),はいれつ,hairetsu,1,3.76,8.540000000000001
24,染める,to dye; to colour,そめる,someru,1,3.3,9.0
25,途上,en route; half way,とじょう,tojō,1,3.81,8.49
26,店,store; shop; establishment,てん,ten,1,5.46,6.840000000000001
27,刑,penalty; sentence; punishment,けい,kei,1,4.08,8.22
28,野党,opposition party,やとう,yatō,1,4.03,8.27
29,徒歩,walking; going on foot,とほ,toho,1,4.51,7.790000000000001
30,伝来,ancestral; hereditary; imported; transmitted; handed down,でんらい,denrai,1,2.85,9.450000000000001
31,トーン,tone,,tōn,1,3.76,8.540000000000001
32,カメラマン,cameraman,,kameraman,1,3.94,8.360000000000001
33,抗議,protest; objection,こうぎ,kōgi,1,4.26,8.040000000000001
34,自惚れ,pretension; conceit; hubris,うぬぼれ,unubore,1,2.73,9.57
35,齎らす,to bring; to take; to bring about,もたらす,motarasu,1,1.12,11.18
36,優越,supremacy; predominance; being superior to,ゆうえつ,yūetsu,1,3.3,9.0
37,不服,dissatisfaction; discontent; disapproval; objection; complaint; protest; disagreement,ふふく,fufuku,1,3.26,9.040000000000001
38,開催,holding a meeting; open an exhibition,かいさい,kaisai,1,5.3,7.000000000000001
